"","Pool_ID","lat","long","DistRC_m","Depth_cm","SurfArea_cm2","Volume_cm3","Pct_Shaded","Notes","MaxRTemp_Z","Depth_Z","Pct_Shaded_Z","fit","se.fit"
"174","176",37.52611069,-77.45502481,"62.21783303",41.475,"12439.76469","366754.2508",0,"-",0,0.512334195519905,-0.539498512914512,31.3760083182457,2.67565742507502
"175","177",37.52613285,-77.45499047,"60.62487068",65.4375,"11388.27337","810457.7646",0,"-",0,1.39490906354126,-0.539498512914512,29.6394666269321,2.69474909716367
"176","178",37.52615042,-77.45498524,"58.51320008",34.5625,"3707.079343","180790.0222",0,"-",0,0.25773643755652,-0.539498512914512,31.8769512265902,2.67357911290019
"177","179",37.52619888,-77.45495539,"53.28506639",6,"15239.86596","899152.0918",0,"-",0,-0.794263339923288,-0.539498512914512,33.9468509473266,2.6813667280467
"178","180",37.52596497,-77.45539042,"67.29508421",25.85971743,"1878.20731","46928.14101",0,"-",0,-0.0628001165649733,-0.539498512914512,32.5076343674663,2.67315967612218
"179","181",37.52596644,-77.455381,"67.46464893",17.375,"932.61719","16204.224",0,"-",0,-0.375305004034174,-0.539498512914512,31.914427467475,1.31494258438798
"180","182",37.52607579,-77.45544442,"50.62073737",26.09611077,"1156.155734","30633.97801",0.08,"-",0,-0.0540933947766947,-0.255590638360999,32.1026577348498,2.67084889053887
"181","183",37.52607978,-77.45548649,"48.47207424",9.875,"871.792","7846.128",0,"-",0,-0.651541269455568,-0.539498512914512,33.6660330421063,2.67876755778052
"182","184",37.52612036,-77.45552329,"41.70817794",30.375,"2921.681168","88746.06547",0,"-",0,0.103504522696242,-0.539498512914512,32.1804157370702,2.67307141885451
"183","185",37.52612479,-77.45554608,"40.21912133",15.625,"1985.486557","31023.22745",0.06,"-",0,-0.4397601326325,-0.326567606999377,32.9534427522154,2.67347901086083
"184","186",37.52592822,-77.45535857,"73.36286019",32,"8356.636","267412.4",0,"-",0,0.163355713537544,-0.539498512914512,32.0626533897197,2.67320108145552
"185","187",37.52597343,-77.45528051,"70.4219109",25.5,"24598.67048","627266.0972",0,"-",0,-0.0760490498276642,-0.539498512914512,32.5337027791215,2.67319507709411
"186","188",37.52599721,-77.4551933,"70.65619739",6.75,"2162.986542","14600.15916",0,"-",0,-0.766639713381149,-0.539498512914512,33.8924990947033,2.68082605093609
"187","189",37.52599894,-77.45514765,"72.19086754",16.25,"7793.89853","130200.5684",0.04,"-",0,-0.416740443847383,-0.397544575637756,28.4743698940107,1.00003885409951
"188","190",37.52603904,-77.45517656,"65.79475872",21,"2872.986482","60332.71612",0.01,"-",0,-0.241790809080501,-0.504010028595323,32.810926944092,2.67358072640482
"189","191",37.52603321,-77.45519508,"65.8484614",335.3481615,"4856.134202","2542760.332",0,"-",0,11.336124147565,-0.539498512914512,10.0792739665343,3.90859749187349
"190","192",37.52601805,-77.45524024,"66.10132137",46.125,"1481.261","68138",0.02,"-",0,0.683600680081169,-0.468521544276134,32.1127260326973,1.30627216385358
"191","193",37.52603866,-77.45524306,"63.27981338",144.1863052,"5064.66262","1472530.316",0,"-",0,4.29534584418724,-0.539498512914512,23.9326086876131,2.88066130165379
"192","194",37.52606433,-77.45522214,"60.70656343",25.25,"10352.33221","258665.4009",0,"-",0,-0.0852569253417106,-0.539498512914512,32.5518200633292,2.67322214608847
"193","195",37.5260622,-77.45519785,"61.92526451",63.5,"13471.15","848682.4",0,"-",0,1.3235480283074,-0.539498512914512,29.7798755795422,2.69252513972104
"194","196",37.52608963,-77.45520231,"58.14084192",27.71875,"5983.752242","205966.2385",0,"-",0,0.00567084535949821,-0.539498512914512,32.3729118817776,2.6730434488851
"195","197",37.52608034,-77.45517997,"60.2260604",83.25,"27256.45786","2269100.117",0,"-",0,2.05097019391707,-0.539498512914512,32.3798954968052,1.34712896635472
